	text	sentiment
0	A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  	0
1	Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  	0
2	Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  	1
3	The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  	1
4	The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  	1
5	Saw the movie today and thought it was a good effort, good messages for kids.  	1
6	"This is a very ""right on case"" movie that delivers everything almost right in your face.  "	1
7	It had some average acting from the main person, and it was a low budget as you clearly can see.  	1
8	This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  	1
9	I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  	1
10	"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  "	1
11	I can think of no other film where something vitally important occurs every other minute.  	1
12	In other words, the content level of this film is enough to easily fill a dozen other films.  	1
13	How can anyone in their right mind ask for anything more from a movie than this?  	1
14	Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
15	Graphics is far from the best part of the game.  	1
16	This is the number one best TH game in the series.  	1
17	It deserves strong love.  	1
18	It is an insane game.  	0
19	This is the kind of money that is wasted properly.  	0
20	Actually, the graphics were good at the time.  	1
21	As they say in Canada, This is the fun game, aye.  	1
22	Buy it, play it, enjoy it, love it.  	1
23	This was a flick doomed from its conception.  	0
24	The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  	0
25	Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
26	But even the talented Carrell can't save this.  	1
27	His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	1
28	The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	1
29	The film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
30	I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
31	In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
